,Percent,Avg. efficiency,Sim 10,Sim 100,Sim 1000
Grid 10x2x1 at 0.5,0.5,0.3842982456140351,0.3831547619047621,0.3862422723475356,0.3845786862990812
Grid 20x1x1 at 0.01,0.01,0.2734462796993349,0.18762338356088357,0.25349280820014175,0.2642284854732899
Grid 20x1x1 at 0.02,0.02,0.2734462796993349,0.2660543725065784,0.2794129166595788,0.27314509286830296
Grid 20x1x1 at 0.03,0.03,0.2734462796993349,0.2527583282730341,0.287183609347309,0.2767529075972189
Grid 20x1x1 at 0.04,0.04,0.2734462796993349,0.23240273513251458,0.2831252398487305,0.2767479601691847
Grid 20x1x1 at 0.05,0.05,0.2734462796993349,0.2971956425384404,0.2740988380429882,0.2727106729756132
Grid 20x1x1 at 0.1,0.1,0.2734462796993349,0.2687812894902067,0.2663022392927171,0.27029820583081815
Grid 20x1x1 at 0.15,0.15,0.2734462796993349,0.2751775557814746,0.2753239371077686,0.2740539054924218
Grid 20x1x1 at 0.2,0.2,0.2734462796993349,0.25131796253440586,0.2750426327492688,0.2739831580571128
Grid 20x1x1 at 0.25,0.25,0.2734462796993349,0.2657431313503905,0.2763973907083448,0.27404988995569834
Grid 20x1x1 at 0.5,0.5,0.2734462796993349,0.27786777204699276,0.27378664975352923,0.2741032414994847
Cycle 20 at 0.01,0.01,0.3030492898913951,0.26275793650793644,0.2838938492063491,0.3026338293650796
Cycle 20 at 0.02,0.02,0.3030492898913951,0.324985119047619,0.31035912698412693,0.3015764384920631
Cycle 20 at 0.03,0.03,0.3030492898913951,0.29332341269841267,0.29869212962962965,0.3044153769841267
Cycle 20 at 0.04,0.04,0.3030492898913951,0.33082837301587303,0.32510887896825386,0.3050806299603176
Cycle 20 at 0.05,0.05,0.3030492898913951,0.2852046783625731,0.30380388471177944,0.3029230367585627
Cycle 20 at 0.1,0.1,0.3030492898913951,0.30167815371762735,0.30804365079365087,0.30193908730158714
Cycle 20 at 0.15,0.15,0.3030492898913951,0.3303390420495682,0.30636619326093,0.30082179754942917
Cycle 20 at 0.2,0.2,0.3030492898913951,0.32223788638262313,0.3028566207184628,0.30236439536340864
Cycle 20 at 0.25,0.25,0.3030492898913951,0.298237259816207,0.3011766081871345,0.30317486215538864
Cycle 20 at 0.5,0.5,0.3030492898913951,0.30466729323308306,0.3027075187969928,0.3028718003341692
Grid 4x3x2 at 0.01,0.01,0.46437198067632857,0.5502777777777779,0.4855833333333334,0.4593277777777786
Grid 4x3x2 at 0.02,0.02,0.46437198067632857,0.4956944444444444,0.466986111111111,0.46636805555555555
Grid 4x3x2 at 0.03,0.03,0.46437198067632857,0.46539215686274515,0.4698235294117648,0.46820490196078457
Grid 4x3x2 at 0.04,0.04,0.46437198067632857,0.48311594202898556,0.4690072463768116,0.46477826086956425
Grid 4x3x2 at 0.05,0.05,0.46437198067632857,0.4763690476190476,0.4687619047619047,0.4654017857142858
Grid 4x3x2 at 0.1,0.1,0.46437198067632857,0.47214285714285714,0.45973809523809506,0.46249374999999965
Grid 4x3x2 at 0.15,0.15,0.46437198067632857,0.44590361445783133,0.4634116465863452,0.46415742971887564
Grid 4x3x2 at 0.2,0.2,0.46437198067632857,0.46319819819819824,0.4606081081081084,0.4643614114114118
Grid 4x3x2 at 0.25,0.25,0.46437198067632857,0.45933574879227096,0.4643635265700486,0.46535471014492763
Grid 4x3x2 at 0.5,0.5,0.46437198067632857,0.4625483091787436,0.46424094202898525,0.4651493357487913
Grid 5x5x1 at 0.01,0.01,0.40464285714285725,0.44833333333333336,0.41156349206349213,0.4006218253968255
Grid 5x5x1 at 0.02,0.02,0.40464285714285725,0.387906746031746,0.4021061507936507,0.40220734126984126
Grid 5x5x1 at 0.03,0.03,0.40464285714285725,0.36921296296296297,0.4080707671957673,0.4053949074074073
Grid 5x5x1 at 0.04,0.04,0.40464285714285725,0.40397817460317453,0.40392013888888884,0.40051612103174633
Grid 5x5x1 at 0.05,0.05,0.40464285714285725,0.4053928571428571,0.4063273809523808,0.40340507936507897
Grid 5x5x1 at 0.1,0.1,0.40464285714285725,0.40925595238095236,0.4020779761904762,0.40598736111111083
Grid 5x5x1 at 0.15,0.15,0.40464285714285725,0.4038756613756614,0.40176283068783064,0.40378497354497306
Grid 5x5x1 at 0.2,0.2,0.40464285714285725,0.4097132936507938,0.4025332341269842,0.4043627182539686
Grid 5x5x1 at 0.25,0.25,0.40464285714285725,0.4095095238095241,0.40568753968253995,0.40490234126984165
Grid 5x5x1 at 0.5,0.5,0.40464285714285725,0.40579603174603174,0.40467789682539695,0.404903067460317
Grid 3x3x3 at 0.01,0.01,0.45622032288698955,0.47874999999999995,0.4555000000000001,0.45590208333333204
Grid 3x3x3 at 0.02,0.02,0.45622032288698955,0.5035555555555555,0.4677111111111109,0.45797222222222217
Grid 3x3x3 at 0.03,0.03,0.45622032288698955,0.496060606060606,0.46366666666666667,0.45432954545454574
Grid 3x3x3 at 0.04,0.04,0.45622032288698955,0.4487356321839081,0.4600057471264369,0.45968793103448397
Grid 3x3x3 at 0.05,0.05,0.45622032288698955,0.4540277777777778,0.45429166666666676,0.45684768518518515
Grid 3x3x3 at 0.1,0.1,0.45622032288698955,0.43953051643192464,0.45422769953051606,0.45636666666666664
Grid 3x3x3 at 0.15,0.15,0.45622032288698955,0.4524842767295598,0.45539779874213876,0.45658726415094286
Grid 3x3x3 at 0.2,0.2,0.45622032288698955,0.4588179669030736,0.4571891252955087,0.4566146572104019
Grid 3x3x3 at 0.25,0.25,0.45622032288698955,0.44497159090909105,0.451911931818182,0.4549640151515155
Grid 3x3x3 at 0.5,0.5,0.45622032288698955,0.45824311490978176,0.4568461538461538,0.4560798670465339
Grid 5x3x2 at 0.01,0.01,0.42238642583470176,0.4272222222222222,0.41298148148148145,0.4222986772486778
Grid 5x3x2 at 0.02,0.02,0.42238642583470176,0.4284126984126984,0.42197222222222214,0.4229657407407409
Grid 5x3x2 at 0.03,0.03,0.42238642583470176,0.4270899470899471,0.4289550264550266,0.4230531746031746
Grid 5x3x2 at 0.04,0.04,0.42238642583470176,0.4287210884353742,0.4211265306122449,0.4224214965986394
Grid 5x3x2 at 0.05,0.05,0.42238642583470176,0.4137391774891774,0.4217104978354977,0.4238767316017325
Grid 5x3x2 at 0.1,0.1,0.42238642583470176,0.41756978653530374,0.42686507936507906,0.42172709359605887
Grid 5x3x2 at 0.15,0.15,0.42238642583470176,0.41982188295165423,0.4182031988367871,0.4222024536532174
Grid 5x3x2 at 0.2,0.2,0.42238642583470176,0.4207553366174057,0.42066392993979207,0.42323273125342126
Grid 5x3x2 at 0.25,0.25,0.42238642583470176,0.4273405417212756,0.4231345565749235,0.42241079073831367
Grid 5x3x2 at 0.5,0.5,0.42238642583470176,0.42072413793103464,0.42282616310892185,0.4226585550082108
Grid 10x3x1 at 0.01,0.01,0.3453349587832346,0.31914021164021167,0.34034050825717493,0.3396563291646628
Grid 10x3x1 at 0.02,0.02,0.3453349587832346,0.36089506172839514,0.35302234648067987,0.34422359106942446
Grid 10x3x1 at 0.03,0.03,0.3453349587832346,0.3669475175030731,0.34198466142910583,0.34487132702688256
Grid 10x3x1 at 0.04,0.04,0.3453349587832346,0.3633800247371676,0.34566415172129455,0.34478065965780186
Grid 10x3x1 at 0.05,0.05,0.3453349587832346,0.33054055162009705,0.34132054309327026,0.34669220697232006
Grid 10x3x1 at 0.1,0.1,0.3453349587832346,0.33291776550397234,0.3469505191487949,0.3452877651722479
Grid 10x3x1 at 0.15,0.15,0.3453349587832346,0.35415204388486843,0.34633794047343686,0.3445598066267915
Grid 10x3x1 at 0.2,0.2,0.3453349587832346,0.3499442910218775,0.34566069147965733,0.34541972267834337
Grid 10x3x1 at 0.25,0.25,0.3453349587832346,0.3431261500986273,0.34458265154824796,0.34489334895481716
Grid 10x3x1 at 0.5,0.5,0.3453349587832346,0.34458044318389136,0.34530615514753443,0.3449839724005241
Tree 5 at 0.01,0.01,0.27765488991295445,0.35065476190476186,0.28262976190476186,0.27922083333333353
Tree 5 at 0.02,0.02,0.27765488991295445,0.2825250626566416,0.27629135338345867,0.2810783208020051
Tree 5 at 0.03,0.03,0.27765488991295445,0.26816751700680275,0.27640858843537425,0.2783633078231293
Tree 5 at 0.04,0.04,0.27765488991295445,0.2848214285714285,0.2789047619047618,0.27918984962405996
Tree 5 at 0.05,0.05,0.27765488991295445,0.26683383991894627,0.2734939209726443,0.2755871327254305
Tree 5 at 0.1,0.1,0.27765488991295445,0.2900025601638504,0.27991461853558613,0.27811233998975954
Tree 5 at 0.15,0.15,0.27765488991295445,0.27396003401360547,0.278037755102041,0.27798329931972815
Tree 5 at 0.2,0.2,0.27765488991295445,0.27444316436251925,0.27740111367127507,0.2779845942140299
Tree 5 at 0.25,0.25,0.27765488991295445,0.2845120580421013,0.2772790721438793,0.2770590844062953
Tree 5 at 0.5,0.5,0.27765488991295445,0.2749413722478239,0.2773931131592422,0.27726710189452103
Grid 4x4x2 at 0.01,0.01,0.41754992319508444,0.4291666666666667,0.42224285714285725,0.4194697619047623
Grid 4x4x2 at 0.02,0.02,0.41754992319508444,0.40058333333333335,0.4138047619047619,0.4180085714285718
Grid 4x4x2 at 0.03,0.03,0.41754992319508444,0.41880952380952385,0.42720158730158725,0.41594444444444445
Grid 4x4x2 at 0.04,0.04,0.41754992319508444,0.403077380952381,0.4143809523809526,0.4177351785714281
Grid 4x4x2 at 0.05,0.05,0.41754992319508444,0.4197904761904761,0.41499476190476164,0.4165980952380947
Grid 4x4x2 at 0.1,0.1,0.41754992319508444,0.4193619047619048,0.41809214285714275,0.4186774761904762
Grid 4x4x2 at 0.15,0.15,0.41754992319508444,0.4247810802173221,0.4197801214445513,0.4173851869606906
Grid 4x4x2 at 0.2,0.2,0.41754992319508444,0.40879995214166076,0.41498013878918405,0.4170634481933479
Grid 4x4x2 at 0.25,0.25,0.41754992319508444,0.413278609831029,0.41833688556067583,0.41778965053763417
Grid 4x4x2 at 0.5,0.5,0.41754992319508444,0.41794450844854103,0.41721178955453164,0.4179243423579113
Grid 4x3x3 at 0.01,0.01,0.4105366591080876,0.38628205128205123,0.418102564102564,0.41309120879120875
Grid 4x3x3 at 0.02,0.02,0.4105366591080876,0.4166025641025641,0.4185796703296703,0.40955915750915717
Grid 4x3x3 at 0.03,0.03,0.4105366591080876,0.40763784461152885,0.41327819548872163,0.41178621553884687
Grid 4x3x3 at 0.04,0.04,0.4105366591080876,0.40207749766573286,0.4116914098972922,0.4108839869281043
Grid 4x3x3 at 0.05,0.05,0.4105366591080876,0.40897203325774745,0.41312773998488267,0.4110223356009074
Grid 4x3x3 at 0.1,0.1,0.4105366591080876,0.4170256991685566,0.41309202569916875,0.4107574829931977
Grid 4x3x3 at 0.15,0.15,0.4105366591080876,0.4074666162761404,0.41073330813807035,0.4108791761148906
Grid 4x3x3 at 0.2,0.2,0.4105366591080876,0.4130168178382464,0.41132728647014355,0.41071413454270644
Grid 4x3x3 at 0.25,0.25,0.4105366591080876,0.4091383219954647,0.40990332577475413,0.41025888888888884
Grid 4x3x3 at 0.5,0.5,0.4105366591080876,0.41124036281179166,0.4100040060468635,0.41069062358276637
Grid 5x4x2 at 0.01,0.01,0.38152625152625136,0.380014880952381,0.37211011904761904,0.38093154761904763
Grid 5x4x2 at 0.02,0.02,0.38152625152625136,0.38791294642857144,0.38545907738095253,0.3803476934523807
Grid 5x4x2 at 0.03,0.03,0.38152625152625136,0.3813981762917933,0.38066666666666654,0.38111122087132726
Grid 5x4x2 at 0.04,0.04,0.38152625152625136,0.3721390778533635,0.3817568027210882,0.38142566137566136
Grid 5x4x2 at 0.05,0.05,0.38152625152625136,0.36128205128205115,0.3751385836385834,0.38069337606837583
Grid 5x4x2 at 0.1,0.1,0.38152625152625136,0.3889064407814411,0.37960912698412735,0.3814153693528694
Grid 5x4x2 at 0.15,0.15,0.38152625152625136,0.3879721204721206,0.3824246540496539,0.3813614265364273
Grid 5x4x2 at 0.2,0.2,0.38152625152625136,0.3820650183150183,0.38079052197802177,0.3813844818376066
Grid 5x4x2 at 0.25,0.25,0.38152625152625136,0.3809041514041513,0.3829015262515263,0.3817865079365082
Grid 5x4x2 at 0.5,0.5,0.38152625152625136,0.3843888888888881,0.3827030677655672,0.3816424221611713
Grid 10x2x2 at 0.01,0.01,0.3357205757205757,0.32160984848484847,0.3296509965728715,0.3362301497113998
Grid 10x2x2 at 0.02,0.02,0.3357205757205757,0.32096974206349205,0.33255423656204913,0.33681511769480504
Grid 10x2x2 at 0.03,0.03,0.3357205757205757,0.3343916367320622,0.3334644392250774,0.3348564305670686
Grid 10x2x2 at 0.04,0.04,0.3357205757205757,0.3536048695572504,0.3383605213129022,0.3363232334684711
Grid 10x2x2 at 0.05,0.05,0.3357205757205757,0.32226208976208975,0.3377637547637547,0.3373204989454989
Grid 10x2x2 at 0.1,0.1,0.3357205757205757,0.33271596459096475,0.3352210729085732,0.33478346121471186
Grid 10x2x2 at 0.15,0.15,0.3357205757205757,0.3370139736806405,0.3369221426721428,0.3360756951381955
Grid 10x2x2 at 0.2,0.2,0.3357205757205757,0.3370187335812337,0.33664570961445983,0.33522702563640083
Grid 10x2x2 at 0.25,0.25,0.3357205757205757,0.3409579309579309,0.3358897546897546,0.3351027765752766
Grid 10x2x2 at 0.5,0.5,0.3357205757205757,0.3342371609871605,0.33536752923002877,0.3359451258463756
Grid 10x4x1 at 0.01,0.01,0.315096015096015,0.30932539682539684,0.3111321699134199,0.314097262806638
Grid 10x4x1 at 0.02,0.02,0.315096015096015,0.3034019886363636,0.3130854978354977,0.31581748511904817
Grid 10x4x1 at 0.03,0.03,0.315096015096015,0.302996607411501,0.3074349190998126,0.3148892296828466
Grid 10x4x1 at 0.04,0.04,0.315096015096015,0.31666145582812244,0.313179550608122,0.31646877333424933
Grid 10x4x1 at 0.05,0.05,0.315096015096015,0.33981430606430596,0.321991661116661,0.316108623321123
Grid 10x4x1 at 0.1,0.1,0.315096015096015,0.3153010646760648,0.31809851491101493,0.3155554022366523
Grid 10x4x1 at 0.15,0.15,0.315096015096015,0.31150847609180976,0.3154493068659738,0.3154480553397227
Grid 10x4x1 at 0.2,0.2,0.315096015096015,0.3166764138639141,0.31593372946497955,0.31482698470511
Grid 10x4x1 at 0.25,0.25,0.315096015096015,0.3171766196766199,0.3136617872867876,0.31493179561179585
Grid 10x4x1 at 0.5,0.5,0.315096015096015,0.31541468253968186,0.31479642718392653,0.3152510631960628
Grid 20x2x1 at 0.01,0.01,0.2500187844689511,0.2711872595391364,0.25933616067884635,0.2521231865751529
Grid 20x2x1 at 0.02,0.02,0.2500187844689511,0.2742223902715147,0.2478119066954932,0.25037497697198735
Grid 20x2x1 at 0.03,0.03,0.2500187844689511,0.25479192006092405,0.25199057242207396,0.2496520934710684
Grid 20x2x1 at 0.04,0.04,0.2500187844689511,0.25061208556951586,0.2480396824599058,0.24920616564610018
Grid 20x2x1 at 0.05,0.05,0.2500187844689511,0.263938831349822,0.25158523044491427,0.2519786184385105
Grid 20x2x1 at 0.1,0.1,0.2500187844689511,0.25756746068204167,0.25081302688264184,0.25097818009339895
Grid 20x2x1 at 0.15,0.15,0.2500187844689511,0.24771781836896603,0.24945592387646595,0.2499310911845856
Grid 20x2x1 at 0.2,0.2,0.2500187844689511,0.25091761036532156,0.25095200924517097,0.25004452828795026
Grid 20x2x1 at 0.25,0.25,0.2500187844689511,0.24956348888359522,0.2503238893874732,0.24974629132464227
Grid 20x2x1 at 0.5,0.5,0.2500187844689511,0.2542772064878219,0.25043819826984853,0.24996636631021396
Grid 5x3x3 at 0.01,0.01,0.37539923039923034,0.3568809523809524,0.36513273809523805,0.377380595238095
Grid 5x3x3 at 0.02,0.02,0.37539923039923034,0.40585119047619045,0.3763869047619048,0.3753132440476187
Grid 5x3x3 at 0.03,0.03,0.37539923039923034,0.38895833333333324,0.372959126984127,0.37557960317460365
Grid 5x3x3 at 0.04,0.04,0.37539923039923034,0.37506101190476177,0.37502812499999977,0.37589623511904807
Grid 5x3x3 at 0.05,0.05,0.37539923039923034,0.3942797017797018,0.37995935545935533,0.37663279220779283
Grid 5x3x3 at 0.1,0.1,0.37539923039923034,0.37111050986051003,0.37241269841269875,0.37518405483405504
Grid 5x3x3 at 0.15,0.15,0.37539923039923034,0.37580607663940996,0.37601615359948687,0.37583567420234176
Grid 5x3x3 at 0.2,0.2,0.37539923039923034,0.37093734968734965,0.3752348184223181,0.37575935545935535
Grid 5x3x3 at 0.25,0.25,0.37539923039923034,0.3732710437710438,0.37329891774891766,0.3751807792207788
Grid 5x3x3 at 0.5,0.5,0.37539923039923034,0.375282948532947,0.3746767556517541,0.3752645863395848
Grid 4x4x3 at 0.01,0.01,0.37133147585275256,0.3636645962732919,0.3696547619047619,0.37050263975155306
Grid 4x4x3 at 0.02,0.02,0.37133147585275256,0.38204968944099377,0.37542158385093166,0.37158869047619014
Grid 4x4x3 at 0.03,0.03,0.37133147585275256,0.37419642857142843,0.3678989845938375,0.37229824929971983
Grid 4x4x3 at 0.04,0.04,0.37133147585275256,0.3799215070643641,0.3727121925693354,0.3725305729984308
Grid 4x4x3 at 0.05,0.05,0.37133147585275256,0.36949431099873586,0.37309260429835656,0.3722021175726927
Grid 4x4x3 at 0.1,0.1,0.37133147585275256,0.369727138643068,0.3718049936788876,0.37169467973029907
Grid 4x4x3 at 0.15,0.15,0.37133147585275256,0.369661469307487,0.37128824273072053,0.37103569672706815
Grid 4x4x3 at 0.2,0.2,0.37133147585275256,0.3738527180783817,0.3726020596291615,0.37123863780025257
Grid 4x4x3 at 0.25,0.25,0.37133147585275256,0.36893701452212085,0.3708814800742992,0.3713850388382298
Grid 4x4x3 at 0.5,0.5,0.37133147585275256,0.37196491894629996,0.37121224881796505,0.3712906081138108
Grid 5x5x2 at 0.01,0.01,0.34988662131519255,0.35370634920634925,0.35231809523809504,0.35138176190476195
Grid 5x5x2 at 0.02,0.02,0.34988662131519255,0.34372206025267243,0.35049457402008405,0.3490172740524785
Grid 5x5x2 at 0.03,0.03,0.34988662131519255,0.3441516516516515,0.34290015015015,0.3493233751608754
Grid 5x5x2 at 0.04,0.04,0.34988662131519255,0.3511856171039844,0.3521111516034985,0.35038192419825054
Grid 5x5x2 at 0.05,0.05,0.34988662131519255,0.35350819460575567,0.3494779971609242,0.3502826848625631
Grid 5x5x2 at 0.1,0.1,0.34988662131519255,0.34831065759637214,0.34920247813411104,0.3491669873663757
Grid 5x5x2 at 0.15,0.15,0.34988662131519255,0.350680965320911,0.34968175250172523,0.3499003838854376
Grid 5x5x2 at 0.2,0.2,0.34988662131519255,0.3518586005830902,0.3490254778101717,0.34969142614188553
Grid 5x5x2 at 0.25,0.25,0.34988662131519255,0.351096416271783,0.3489777505890879,0.3498329539863791
Grid 5x5x2 at 0.5,0.5,0.34988662131519255,0.3512758989309996,0.3508866634272744,0.35012573793326723
Grid 10x5x1 at 0.01,0.01,0.2910526435016229,0.3017623376623376,0.2920583205683205,0.2900298606948604
Grid 10x5x1 at 0.02,0.02,0.2910526435016229,0.29906243982774583,0.29892382787280736,0.2933237543635504
Grid 10x5x1 at 0.03,0.03,0.2910526435016229,0.2815636878136877,0.29181996194496174,0.2902771437271434
Grid 10x5x1 at 0.04,0.04,0.2910526435016229,0.2818177768943074,0.2908728969443255,0.29027026703455266
Grid 10x5x1 at 0.05,0.05,0.2910526435016229,0.2939547805401464,0.2897767783255587,0.2899557319825617
Grid 10x5x1 at 0.1,0.1,0.2910526435016229,0.283531469664123,0.2894060173386707,0.2911321938718883
Grid 10x5x1 at 0.15,0.15,0.2910526435016229,0.2934495305419221,0.2903968341441169,0.29131496724893485
Grid 10x5x1 at 0.2,0.2,0.2910526435016229,0.2914930902430903,0.29126500732827276,0.2911018512779738
Grid 10x5x1 at 0.25,0.25,0.2910526435016229,0.2939744024328032,0.2907320857047607,0.2910904043255996
Grid 10x5x1 at 0.5,0.5,0.2910526435016229,0.2893890513114997,0.29144576092841346,0.29136435351723017
Grid 50x1x1 at 0.01,0.01,0.14282470768691527,0.16274670016657772,0.1402933188250289,0.14204737141284857
Grid 50x1x1 at 0.02,0.02,0.14282470768691527,0.14482199809636448,0.14448093880860213,0.14372169304915602
Grid 50x1x1 at 0.03,0.03,0.14282470768691527,0.15256360265831626,0.14469393588056922,0.14298769375233422
Grid 50x1x1 at 0.04,0.04,0.14282470768691527,0.14056355528158576,0.14079899207952562,0.14134847664598427
Grid 50x1x1 at 0.05,0.05,0.14282470768691527,0.137595687927561,0.1414182041867854,0.14276404342971946
Grid 50x1x1 at 0.1,0.1,0.14282470768691527,0.13911239804926961,0.1431591988027883,0.1429710450159914
Grid 50x1x1 at 0.15,0.15,0.14282470768691527,0.14363706689721875,0.14415701042878026,0.1429251353201377
Grid 50x1x1 at 0.2,0.2,0.14282470768691527,0.1426628595332878,0.1425837513743212,0.1427462412694021
Grid 50x1x1 at 0.25,0.25,0.14282470768691527,0.14335977639812805,0.14265802599780775,0.1430028971307537
Grid 50x1x1 at 0.5,0.5,0.14282470768691527,0.14388841768309846,0.14289632661103743,0.14268333654314727
Cycle 50 at 0.01,0.01,0.1549370684797349,0.15038648661399773,0.15175643609185413,0.15415409529502805
Cycle 50 at 0.02,0.02,0.1549370684797349,0.16899943168279194,0.15714082399323034,0.15419193175028748
Cycle 50 at 0.03,0.03,0.1549370684797349,0.1598536315829524,0.15384535900353127,0.15489075025501406
Cycle 50 at 0.04,0.04,0.1549370684797349,0.16499753840793085,0.1570039901439627,0.15454984144710812
Cycle 50 at 0.05,0.05,0.1549370684797349,0.16345316291466433,0.15897544843168337,0.15402779843458334
Cycle 50 at 0.1,0.1,0.1549370684797349,0.1583804046459572,0.15428399650334737,0.15411442966545522
Cycle 50 at 0.15,0.15,0.1549370684797349,0.15169665980592026,0.1546230216367416,0.15495961041235548
Cycle 50 at 0.2,0.2,0.1549370684797349,0.15686037598974692,0.15530649664976784,0.1549031873152878
Cycle 50 at 0.25,0.25,0.1549370684797349,0.15597671457456347,0.1540436126319146,0.15485321647384961
Cycle 50 at 0.5,0.5,0.1549370684797349,0.15613348152235512,0.15503344544062805,0.15494152627184749
Grid 5x4x3 at 0.01,0.01,0.34097211012465245,0.33160383597883597,0.34289087301587295,0.3406875330687829
Grid 5x4x3 at 0.02,0.02,0.34097211012465245,0.3515029063268499,0.3423894477978983,0.341247356360385
Grid 5x4x3 at 0.03,0.03,0.34097211012465245,0.3363955644563121,0.341349354695149,0.3415283748701968
Grid 5x4x3 at 0.04,0.04,0.34097211012465245,0.3440618712273644,0.3414099877040021,0.34141093505477327
Grid 5x4x3 at 0.05,0.05,0.34097211012465245,0.3478304636355486,0.33708750336292737,0.34096878082683213
Grid 5x4x3 at 0.1,0.1,0.34097211012465245,0.3439138866469376,0.3418681620482467,0.34103696753654444
Grid 5x4x3 at 0.15,0.15,0.34097211012465245,0.3356892505903804,0.34070117029862773,0.3411333804143122
Grid 5x4x3 at 0.2,0.2,0.34097211012465245,0.34456943323468703,0.34114340642094837,0.34090646074343034
Grid 5x4x3 at 0.25,0.25,0.34097211012465245,0.3398679939018913,0.3413344318895158,0.3410330858218982
Grid 5x4x3 at 0.5,0.5,0.34097211012465245,0.3404612814994173,0.3401236099901356,0.3409595442112815
Grid 10x3x2 at 0.01,0.01,0.3018993404586624,0.304736050986051,0.304367303992304,0.3025923210277374
Grid 10x3x2 at 0.02,0.02,0.3018993404586624,0.2978999248013332,0.3010795988049509,0.3014005772005773
Grid 10x3x2 at 0.03,0.03,0.3018993404586624,0.30327062345753925,0.3054915779962508,0.30165448544186885
Grid 10x3x2 at 0.04,0.04,0.3018993404586624,0.30620051114769437,0.299096965632177,0.3019377090827799
Grid 10x3x2 at 0.05,0.05,0.3018993404586624,0.2983564050513206,0.3010494819054144,0.3020330192563249
Grid 10x3x2 at 0.1,0.1,0.3018993404586624,0.2964521730623427,0.30060963142319086,0.3020298014446319
Grid 10x3x2 at 0.15,0.15,0.3018993404586624,0.3014732949619953,0.300575998755377,0.30195977429663867
Grid 10x3x2 at 0.2,0.2,0.3018993404586624,0.30473464467108496,0.3014181331066921,0.3019406219682695
Grid 10x3x2 at 0.25,0.25,0.3018993404586624,0.3042317729351621,0.30193680917324933,0.30203649077538897
Grid 10x3x2 at 0.5,0.5,0.3018993404586624,0.30391219091642757,0.30185949670229273,0.30198133463366433
Grid 20x3x1 at 0.01,0.01,0.22851429019110178,0.22962236474491374,0.23020592598740172,0.2281899945306099
Grid 20x3x1 at 0.02,0.02,0.22851429019110178,0.22066294694685,0.2284079495096588,0.22868023994294495
Grid 20x3x1 at 0.03,0.03,0.22851429019110178,0.23209884844603162,0.23296439386761203,0.22925207381531282
Grid 20x3x1 at 0.04,0.04,0.22851429019110178,0.22408462170033921,0.22601887523992406,0.22776775332667926
Grid 20x3x1 at 0.05,0.05,0.22851429019110178,0.2282464616144499,0.23020854238781396,0.22921399699803832
Grid 20x3x1 at 0.1,0.1,0.22851429019110178,0.22650686089766917,0.22689263752770306,0.2273996703263844
Grid 20x3x1 at 0.15,0.15,0.22851429019110178,0.22471921118087904,0.22834477655082522,0.22808668241282742
Grid 20x3x1 at 0.2,0.2,0.22851429019110178,0.2278466215656126,0.2273100800131697,0.22807100930193286
Grid 20x3x1 at 0.25,0.25,0.22851429019110178,0.22897661333854075,0.22700434973023256,0.22841615506323135
Grid 20x3x1 at 0.5,0.5,0.22851429019110178,0.22802796750052917,0.22908665958904226,0.22844813362421287
Tree 6 at 0.01,0.01,0.2028584432578286,0.2008253968253968,0.20126121031746025,0.20419254960317437
Tree 6 at 0.02,0.02,0.2028584432578286,0.20504822182037358,0.19978360458107283,0.20371025718304192
Tree 6 at 0.03,0.03,0.2028584432578286,0.20069343556631686,0.20373321899381222,0.2036950228679043
Tree 6 at 0.04,0.04,0.2028584432578286,0.20559245778991006,0.20302567991103027,0.2033274188656352
Tree 6 at 0.05,0.05,0.2028584432578286,0.20448250728862996,0.20308230077745398,0.2030259171525755
Tree 6 at 0.1,0.1,0.2028584432578286,0.2043214387204161,0.20410873624812287,0.2036991525595748
Tree 6 at 0.15,0.15,0.2028584432578286,0.20177162901565646,0.2024526856817814,0.20278878934395142
Tree 6 at 0.2,0.2,0.2028584432578286,0.20437030609345136,0.2032983447001984,0.20297287327974628
Tree 6 at 0.25,0.25,0.2028584432578286,0.20048045523224559,0.2029111834088796,0.2028466808012855
Tree 6 at 0.5,0.5,0.2028584432578286,0.20278635229480102,0.2025147940896791,0.20281659616056733
Grid 4x4x4 at 0.01,0.01,0.3374889770723105,0.3627264808362369,0.3434799651567944,0.33876607626790556
Grid 4x4x4 at 0.02,0.02,0.3374889770723105,0.32944199490495774,0.33345110719184773,0.33631970409562967
Grid 4x4x4 at 0.03,0.03,0.3374889770723105,0.33714220123311045,0.3378049980322708,0.3375016135379769
Grid 4x4x4 at 0.04,0.04,0.3374889770723105,0.33105942582794456,0.3358134675680974,0.336686013129532
Grid 4x4x4 at 0.05,0.05,0.3374889770723105,0.3311537403740377,0.3398602074493168,0.33752819817695984
Grid 4x4x4 at 0.1,0.1,0.3374889770723105,0.33775302530253015,0.33885883231180247,0.3370654103803237
Grid 4x4x4 at 0.15,0.15,0.3374889770723105,0.3375175783812144,0.336632073986619,0.3372177954873406
Grid 4x4x4 at 0.2,0.2,0.3374889770723105,0.3397542829606021,0.3375033732617369,0.33745432229893185
Grid 4x4x4 at 0.25,0.25,0.3374889770723105,0.3399572074200038,0.33895507369614386,0.33791951058200925
Grid 4x4x4 at 0.5,0.5,0.3374889770723105,0.336384696239608,0.33759270282187065,0.3373014601442444
Grid 5x5x3 at 0.01,0.01,0.31416302016302006,0.31998299319727885,0.3140435799319727,0.3137262471655331
